p cnf 1000 100
-88 -113 214 0 
409 939 -650 0 
671 -383 138 0 
448 -792 -292 0 
606 43 -265 0 
-997 716 -967 0 
-996 651 -102 0 
558 853 -816 0 
307 76 -191 0 
969 -742 123 0 
-317 858 -784 0 
-336 -674 112 0 
585 579 653 0 
-361 858 -597 0 
938 -684 -430 0 
498 569 -701 0 
-14 -558 534 0 
-393 -502 -68 0 
-520 -580 -169 0 
713 616 -399 0 
190 -289 110 0 
-401 603 -630 0 
-720 -332 185 0 
916 -764 -26 0 
925 646 -641 0 
962 -971 533 0 
210 -969 -864 0 
988 19 853 0 
-192 -741 162 0 
60 -145 88 0 
625 -503 633 0 
970 -43 -816 0 
-613 -818 296 0 
-112 -459 64 0 
-184 -450 -413 0 
-886 -56 -871 0 
503 -987 248 0 
21 140 465 0 
-502 964 -390 0 
435 820 -769 0 
201 -188 810 0 
452 -472 -414 0 
982 -310 510 0 
840 -134 85 0 
491 927 392 0 
325 381 68 0 
-376 -446 -497 0 
-764 217 79 0 
212 -756 -41 0 
895 -424 350 0 
-23 -391 -602 0 
63 423 516 0 
119 -687 384 0 
623 -184 15 0 
13 465 164 0 
32 -212 28 0 
550 -657 707 0 
408 458 -997 0 
-736 -373 -885 0 
942 -680 -43 0 
95 909 848 0 
593 827 -854 0 
793 -765 -449 0 
188 -748 889 0 
-452 995 -843 0 
-884 862 -675 0 
-382 580 -749 0 
667 730 548 0 
-906 765 484 0 
876 -870 -553 0 
-309 -669 289 0 
199 -773 -932 0 
336 -839 -200 0 
753 -525 -517 0 
-332 -508 296 0 
201 -790 978 0 
578 -956 402 0 
410 -609 348 0 
-136 -783 88 0 
-380 943 842 0 
-832 641 -489 0 
559 283 -945 0 
-22 3 338 0 
-614 -75 -362 0 
-345 598 435 0 
-551 284 -684 0 
-252 -105 -920 0 
856 608 130 0 
-400 272 830 0 
158 -837 508 0 
-438 -150 -106 0 
-697 867 729 0 
-674 409 618 0 
-112 575 -183 0 
684 365 -58 0 
-350 -564 100 0 
446 -149 128 0 
-140 800 979 0 
-15 791 196 0 
33 179 -316 0 
