p cnf 1000 1800
-210 -802 640 0 
157 -194 -34 0 
-162 -520 -343 0 
-621 -513 -655 0 
-150 731 79 0 
916 -178 -662 0 
-981 -900 -893 0 
589 -352 -59 0 
-20 251 -81 0 
738 914 -512 0 
643 -348 910 0 
435 374 264 0 
915 423 -931 0 
875 -541 -210 0 
190 -371 263 0 
-747 599 -122 0 
193 919 761 0 
293 -414 256 0 
139 -22 464 0 
-534 918 240 0 
605 444 -499 0 
437 -652 -701 0 
540 417 872 0 
532 325 846 0 
306 -409 19 0 
298 -453 -249 0 
859 -539 144 0 
979 809 -40 0 
284 459 2 0 
-543 -793 -421 0 
-36 -375 314 0 
403 546 -879 0 
-679 -748 -816 0 
81 108 -556 0 
-472 376 415 0 
211 686 -862 0 
-991 -462 915 0 
-375 -226 -536 0 
61 626 935 0 
-336 -679 -888 0 
35 686 623 0 
812 -910 823 0 
-137 432 764 0 
495 698 -975 0 
-50 297 -19 0 
-385 -981 264 0 
-280 -709 529 0 
-75 -887 539 0 
375 681 -900 0 
-308 -748 -533 0 
495 40 -81 0 
149 943 -837 0 
-971 -248 -315 0 
53 -361 943 0 
208 -576 548 0 
-675 -805 -445 0 
-139 356 -473 0 
562 436 -566 0 
-559 930 -209 0 
-289 431 -69 0 
-340 -71 -295 0 
530 346 -562 0 
973 -696 -435 0 
-704 976 -685 0 
-977 999 844 0 
-606 507 -584 0 
340 -599 -619 0 
-4 343 -121 0 
-45 -283 -439 0 
-817 77 -628 0 
-552 -723 -642 0 
-67 -492 467 0 
420 575 -915 0 
-243 758 -502 0 
77 -411 773 0 
-186 -471 904 0 
-901 -829 322 0 
-511 685 -748 0 
-558 -326 -586 0 
-305 -729 530 0 
-429 505 880 0 
421 -497 -645 0 
136 -466 -428 0 
540 -305 512 0 
-849 -72 -30 0 
856 -575 511 0 
797 362 113 0 
-990 -376 599 0 
-642 -830 598 0 
528 6 118 0 
-19 -46 895 0 
-815 4 -235 0 
739 992 -498 0 
967 73 -751 0 
375 287 -54 0 
342 -338 -408 0 
-36 301 -119 0 
480 293 -961 0 
647 200 808 0 
-632 -94 382 0 
-474 421 -349 0 
704 -730 -724 0 
-728 939 -562 0 
268 675 385 0 
244 -223 -936 0 
-327 -625 232 0 
-327 670 -7 0 
464 -102 -381 0 
-589 590 -810 0 
948 -239 -516 0 
-759 347 292 0 
-693 880 112 0 
-995 273 962 0 
193 -409 -832 0 
563 537 447 0 
430 -990 -442 0 
-759 22 -34 0 
982 52 21 0 
-448 -222 -59 0 
517 633 -580 0 
346 -347 811 0 
-512 -568 135 0 
-503 -238 -545 0 
775 806 -744 0 
-216 257 -168 0 
14 -429 -894 0 
-116 658 725 0 
795 -497 11 0 
11 -283 780 0 
321 -475 852 0 
437 816 -669 0 
-117 302 445 0 
-507 985 -308 0 
-865 950 669 0 
-79 385 435 0 
-431 -701 -618 0 
-428 192 717 0 
204 417 341 0 
136 -306 -381 0 
-710 458 -606 0 
322 220 363 0 
-465 167 -872 0 
337 846 -557 0 
-297 949 173 0 
594 -73 635 0 
328 -384 -991 0 
756 -342 -223 0 
-744 73 -900 0 
969 -612 186 0 
-345 -513 432 0 
-408 -39 -140 0 
247 -107 215 0 
363 145 496 0 
673 410 -288 0 
472 -665 -644 0 
411 -566 -239 0 
-105 862 220 0 
228 287 875 0 
967 -143 107 0 
619 -603 -144 0 
428 160 -256 0 
932 85 -206 0 
94 213 -962 0 
499 -966 -741 0 
652 550 -100 0 
705 -24 -246 0 
462 -961 465 0 
985 -905 64 0 
-376 132 856 0 
-477 776 -479 0 
778 781 711 0 
509 150 -275 0 
354 103 435 0 
204 864 -266 0 
-937 -484 -999 0 
519 425 -15 0 
960 374 931 0 
-93 -323 938 0 
-854 824 -431 0 
-693 -769 858 0 
-132 -941 884 0 
124 -231 167 0 
662 -423 124 0 
791 -861 204 0 
-862 801 -642 0 
43 74 149 0 
-194 887 231 0 
-528 952 -947 0 
-397 -457 -908 0 
-255 875 -707 0 
-610 -281 -570 0 
-992 328 394 0 
-424 577 863 0 
-317 207 -804 0 
3 426 333 0 
392 33 43 0 
-444 -107 -833 0 
721 107 -324 0 
936 -32 -592 0 
-707 -814 854 0 
428 397 -358 0 
718 -339 667 0 
304 611 557 0 
-877 -406 229 0 
525 -685 -42 0 
121 -256 169 0 
672 -140 542 0 
-71 -488 -139 0 
158 4 -257 0 
11 170 -229 0 
-421 344 332 0 
16 490 -600 0 
664 381 680 0 
446 593 925 0 
641 -447 410 0 
-151 -491 -725 0 
78 -343 921 0 
934 531 227 0 
-955 -740 936 0 
953 -435 200 0 
-515 -844 -543 0 
-882 -815 -476 0 
-735 -79 -274 0 
800 926 -526 0 
-552 -528 -403 0 
479 -442 626 0 
-745 -264 -275 0 
95 -208 -816 0 
866 -377 -152 0 
403 -433 328 0 
564 363 -970 0 
-807 854 999 0 
606 196 882 0 
140 -726 847 0 
593 552 334 0 
-449 998 541 0 
-721 -943 766 0 
923 -133 967 0 
362 527 -96 0 
661 -296 -279 0 
-126 452 -374 0 
-412 -848 -696 0 
-141 -55 -897 0 
-691 269 542 0 
372 616 347 0 
-296 -560 940 0 
387 -549 733 0 
704 -672 -927 0 
-544 -899 -482 0 
-95 658 669 0 
970 44 519 0 
508 -901 -863 0 
-349 -421 -344 0 
172 123 982 0 
-239 781 -314 0 
-735 -60 -749 0 
804 -511 715 0 
880 -322 163 0 
-279 -901 797 0 
-146 82 518 0 
-317 321 261 0 
-210 -981 -137 0 
953 -389 -277 0 
291 646 -964 0 
391 748 657 0 
-745 645 836 0 
178 16 120 0 
549 893 -8 0 
-708 565 -534 0 
-545 -748 -103 0 
384 -967 715 0 
256 -581 191 0 
-687 318 61 0 
281 -830 -173 0 
515 829 744 0 
449 400 981 0 
346 715 434 0 
-809 -704 45 0 
-443 573 -971 0 
145 760 695 0 
-265 987 886 0 
-531 -583 -116 0 
-437 338 926 0 
-295 -190 214 0 
709 972 -872 0 
-687 -897 653 0 
339 806 -422 0 
865 -168 413 0 
280 84 78 0 
-208 -727 406 0 
-113 64 343 0 
-875 -609 146 0 
693 -352 981 0 
988 873 761 0 
-368 -401 796 0 
256 -428 293 0 
-623 153 -1000 0 
284 -839 858 0 
974 -565 768 0 
-357 -450 96 0 
91 684 -861 0 
-812 2 -411 0 
-545 -272 -305 0 
740 -536 -596 0 
-853 -345 -981 0 
-131 -90 106 0 
-766 -910 620 0 
-387 627 573 0 
-351 574 769 0 
135 -662 -582 0 
-78 531 391 0 
-722 -2 730 0 
742 809 248 0 
33 -838 -585 0 
252 -864 -882 0 
758 653 579 0 
133 7 -614 0 
213 -13 521 0 
-484 -728 237 0 
263 66 -823 0 
73 948 87 0 
-516 22 -920 0 
-312 308 -657 0 
-423 754 -692 0 
-249 720 244 0 
-246 -523 -961 0 
366 -293 432 0 
396 -674 -390 0 
-781 737 1000 0 
-437 -793 195 0 
679 932 464 0 
-178 -466 642 0 
-417 332 -147 0 
779 206 -834 0 
-704 -941 -121 0 
651 -627 493 0 
84 -353 -560 0 
-989 814 6 0 
350 202 -826 0 
-987 -277 -801 0 
798 -888 958 0 
444 882 622 0 
929 488 -236 0 
884 787 -452 0 
-133 -717 -50 0 
891 -28 954 0 
-367 -238 -948 0 
355 283 -434 0 
811 -122 403 0 
-792 833 -759 0 
-680 71 983 0 
768 -473 -967 0 
430 740 -266 0 
-653 -346 -878 0 
594 -475 361 0 
-941 -288 555 0 
894 -964 -925 0 
-220 865 481 0 
801 -499 -839 0 
569 210 908 0 
695 27 -941 0 
-392 -913 -159 0 
789 473 259 0 
-386 -667 -518 0 
366 952 874 0 
-26 -797 229 0 
-161 931 -115 0 
600 -363 531 0 
284 95 -941 0 
941 -21 -823 0 
985 -320 455 0 
459 -543 -680 0 
803 -767 -536 0 
-286 -747 -831 0 
-360 -945 733 0 
889 974 -995 0 
90 -973 -362 0 
-559 -553 -775 0 
-946 300 -809 0 
739 822 211 0 
-931 721 619 0 
-463 -51 -520 0 
464 -598 810 0 
-419 -582 833 0 
948 -119 -756 0 
-115 634 688 0 
912 -528 627 0 
230 280 -60 0 
-746 -351 -689 0 
758 763 -198 0 
-917 706 -629 0 
682 190 -557 0 
186 88 -488 0 
-689 208 -939 0 
-877 105 896 0 
623 -798 -591 0 
417 -786 525 0 
446 -951 223 0 
367 -830 888 0 
653 -958 -704 0 
-418 -792 791 0 
586 119 162 0 
669 288 825 0 
-402 -232 -381 0 
-651 786 -731 0 
232 685 -868 0 
-990 -443 884 0 
731 -384 -581 0 
-330 681 280 0 
141 -659 354 0 
284 -636 -735 0 
525 77 -24 0 
-390 -905 -473 0 
-367 290 201 0 
-135 -672 953 0 
384 309 -647 0 
812 -618 -245 0 
-269 -444 272 0 
