p cnf 1000 200
x 886 -626 204 0 
x -349 -346 -486 0 
x -561 439 673 0 
x 297 534 961 0 
x 104 -485 -533 0 
x -712 -750 -899 0 
x 445 -530 -983 0 
x 441 -806 -439 0 
x 338 807 -469 0 
x 876 303 -681 0 
x 10 -496 71 0 
x 150 -463 228 0 
x 129 -65 -351 0 
x -755 -430 -879 0 
x -240 308 461 0 
x -152 971 523 0 
x -757 -162 60 0 
x 604 712 376 0 
x 607 117 -252 0 
x 814 -568 -337 0 
x -33 438 85 0 
x 311 14 730 0 
x 999 708 95 0 
x 793 -97 -115 0 
x 731 -272 -783 0 
x 678 -435 -318 0 
x -508 -24 -568 0 
x -375 311 -314 0 
x -897 -257 -511 0 
x 440 -755 237 0 
x -402 559 193 0 
x 861 -893 355 0 
x -371 402 -59 0 
x -94 366 -736 0 
x -708 358 825 0 
x 186 -470 360 0 
x -123 563 -307 0 
x -597 554 943 0 
x 452 325 -40 0 
x -499 -562 -832 0 
x -34 -734 196 0 
x -549 -191 704 0 
x 384 508 463 0 
x -591 500 377 0 
x -926 -424 -319 0 
x -169 436 -505 0 
x -750 779 137 0 
x -116 399 -889 0 
x -396 818 -991 0 
x 109 73 334 0 
x -247 572 704 0 
x 342 -778 -246 0 
x -971 -544 -264 0 
x 297 -847 -754 0 
x 587 -431 -225 0 
x -746 703 424 0 
x 955 902 865 0 
x -345 -602 -796 0 
x -630 500 571 0 
x -734 560 781 0 
x 782 -741 -773 0 
x -154 -243 134 0 
x -936 -470 -668 0 
x 614 758 337 0 
x -856 210 -910 0 
x -65 947 761 0 
x -936 182 663 0 
x -172 -775 -79 0 
x 533 -945 -128 0 
x 743 -403 -799 0 
x 669 -905 925 0 
x -925 -103 289 0 
x -434 105 -294 0 
x 907 450 922 0 
x -331 -685 499 0 
x -36 47 -267 0 
x -251 542 -190 0 
x -702 -630 808 0 
x 660 503 221 0 
x -507 126 -430 0 
x -844 238 -739 0 
x 374 -387 -100 0 
x -267 -120 -701 0 
x 461 304 995 0 
x 17 -208 100 0 
x 411 -920 -11 0 
x 128 -208 -50 0 
x -296 50 -463 0 
x 395 -89 -847 0 
x -893 418 -880 0 
x -179 -939 -170 0 
x 645 -341 957 0 
x 890 734 -311 0 
x -746 -428 -69 0 
x 683 -293 -976 0 
x -549 -674 -599 0 
x 721 246 793 0 
x -140 -28 -71 0 
x -555 954 -342 0 
x 58 219 576 0 
x 913 388 -493 0 
x 62 681 -674 0 
x 658 -910 84 0 
x -793 -62 -421 0 
x -380 -189 -547 0 
x -768 -803 18 0 
x 922 -804 712 0 
x -324 -917 -368 0 
x -553 345 -216 0 
x -214 -18 25 0 
x 400 387 417 0 
x 661 111 327 0 
x 954 525 921 0 
x -192 -578 -385 0 
x -993 -728 331 0 
x -932 -946 736 0 
x -165 -652 -980 0 
x 273 -984 856 0 
x -23 -206 -591 0 
x 171 123 487 0 
x -263 323 259 0 
x 337 499 154 0 
x 694 999 504 0 
x 201 860 -702 0 
x -623 -306 -808 0 
x 590 578 -401 0 
x -181 -148 -956 0 
x -854 975 -598 0 
x -238 -487 194 0 
x -276 -281 -571 0 
x 841 574 -923 0 
x -934 778 380 0 
x 242 -79 -990 0 
x -570 -736 3 0 
x 64 -860 105 0 
x -493 861 31 0 
x 629 -620 -697 0 
x -308 500 788 0 
x -994 -424 822 0 
x 764 -363 170 0 
x -425 325 -250 0 
x 209 388 81 0 
x -760 622 -838 0 
x -683 -60 208 0 
x -415 907 -70 0 
x -429 -995 -556 0 
x 416 231 191 0 
x 53 61 -292 0 
x -426 -826 -729 0 
x -946 53 -784 0 
x 875 -973 599 0 
x -582 230 112 0 
x 493 342 428 0 
x 577 -851 -955 0 
x 487 368 -163 0 
x 504 815 84 0 
x 626 -262 673 0 
x 989 553 -954 0 
x 412 -394 -471 0 
x 642 -479 -266 0 
x 697 -378 18 0 
x -154 -301 538 0 
x 259 -128 874 0 
x 901 -281 753 0 
x -383 -832 -900 0 
x -547 196 955 0 
x 906 -631 -394 0 
x -552 116 153 0 
x -685 238 705 0 
x -684 899 -823 0 
x -929 468 -20 0 
x 832 -117 830 0 
x 634 832 -472 0 
x 415 -544 186 0 
x 961 716 -194 0 
x -324 99 -998 0 
x 497 186 -693 0 
x -819 216 675 0 
x 907 850 -688 0 
x 574 -773 -982 0 
x -822 961 824 0 
x 616 -59 337 0 
x -129 -678 813 0 
x 654 -599 281 0 
x -127 13 51 0 
x -627 -312 -474 0 
x 575 210 939 0 
x -811 891 -166 0 
x -306 -548 719 0 
x 858 334 649 0 
x -408 -909 858 0 
x -134 -893 889 0 
x 158 825 245 0 
x -584 510 952 0 
x 664 716 -857 0 
x 423 523 -891 0 
x 763 -703 -403 0 
x -568 -716 -435 0 
x 718 584 -615 0 
x -564 943 -803 0 
