unconstrained_SQUARE_SLSQP	constrained_ABS_SLSQP	constrained_SQUARE_SLSQP	unconstrained_ABS_SLSQP	constrained_SQUARE_GD	constrained_ABS_GD	
12	13	12	20	34	20	
38	38	38	45	61	44	
27	23	27	34	43	28	
29	29	29	42	43	35	
47	40	47	49	60	45	
40	37	40	39	45	38	
32	34	32	42	51	39	
16	17	17	21	30	18	
55	43	55	49	58	46	
20	22	20	25	33	24	
12	15	12	19	28	16	
40	42	40	51	59	46	
21	26	21	31	38	24	
41	36	41	44	59	40	
20	22	18	26	40	23	
36	35	36	44	53	38	
16	19	16	22	30	21	
36	38	36	44	55	39	
11	11	11	14	22	14	
28	30	28	37	42	32	
18	22	18	31	34	24	
13	17	13	21	30	20	
13	19	13	23	31	21	
22	24	22	30	35	28	
27	32	27	41	49	32	
18	25	18	27	41	27	
10	13	10	19	26	13	
10	12	10	15	17	13	
36	36	36	44	51	38	
34	38	34	44	55	40	
24	25	24	31	40	25	
44	42	44	47	58	42	
24	26	24	32	41	28	
36	34	36	45	51	40	
23	25	24	28	37	27	
26	30	29	39	45	36	
18	20	18	25	33	25	
23	26	23	33	43	27	
25	28	25	35	43	32	
17	17	17	30	34	24	
41	41	41	49	55	41	
17	20	17	26	33	22	
10	15	10	18	28	16	
44	43	44	47	62	46	
10	13	10	15	22	12	
46	41	46	51	58	47	
12	18	13	19	30	19	
45	44	45	54	56	44	
20	20	21	24	33	24	
16	18	16	24	34	22	
29	30	29	35	41	33	
65	53	66	62	75	50	
34	34	34	36	41	36	
68	51	69	61	71	57	
18	18	18	24	30	22	
87	66	85	75	90	69	
24	28	24	34	42	30	
82	65	82	71	83	66	
38	36	38	45	51	39	
35	37	36	45	50	36	
81	64	81	74	79	64	
26	27	26	29	34	26	
34	29	35	35	48	25	
49	45	51	55	59	43	
58	45	58	52	57	44	
16	18	16	21	31	20	
64	49	64	56	65	52	
82	67	82	78	84	69	
75	64	75	72	82	67	
73	58	76	62	70	56	
76	58	75	68	81	65	
64	47	64	54	68	56	
37	36	37	41	47	38	
23	26	23	31	37	30	
87	61	90	77	83	65	
54	43	55	49	57	45	
60	49	60	57	68	51	
59	50	58	57	70	55	
18	23	18	27	34	25	
80	65	80	72	81	70	
73	61	74	72	73	63	
33	29	33	37	45	32	
49	52	49	58	68	54	
29	29	30	33	47	31	
54	43	54	49	60	45	
77	58	77	67	72	60	
58	42	58	49	56	43	
18	22	18	25	28	22	
67	54	67	59	68	53	
34	33	33	38	39	34	
96	69	97	77	92	68	
62	47	62	51	59	47	
22	21	21	27	34	25	
32	32	32	42	49	36	
24	27	24	30	37	30	
22	23	22	30	35	25	
20	22	20	26	30	22	
27	27	27	32	40	26	
21	22	21	28	37	24	
95	72	97	83	90	75	
118	97	118	106	118	98	
111	90	111	95	114	91	
52	42	52	51	57	44	
100	82	99	91	97	83	
119	97	119	102	110	95	
42	36	42	39	45	39	
46	44	46	48	54	47	
84	63	84	74	77	66	
104	83	104	95	99	85	
92	73	92	80	89	75	
49	40	49	43	43	41	
116	88	115	104	109	92	
23	22	23	27	29	23	
46	36	46	43	54	38	
31	28	31	37	45	32	
52	42	52	51	53	44	
62	53	62	57	67	53	
82	69	82	74	84	68	
91	69	91	77	86	69	
48	48	48	55	66	51	
109	79	109	97	107	81	
21	23	21	32	35	23	
73	54	73	64	66	57	
104	80	103	90	96	78	
89	67	86	78	87	69	
62	46	62	56	65	51	
66	51	66	59	63	54	
34	26	36	29	36	28	
105	83	101	100	104	84	
22	24	22	31	34	27	
105	87	105	101	104	84	
84	68	84	74	82	68	
35	31	33	35	44	32	
48	39	48	46	54	38	
59	44	59	48	55	44	
32	26	32	31	36	29	
71	58	71	66	68	62	
99	70	99	84	95	72	
73	60	73	64	74	64	
114	90	114	105	119	94	
38	34	38	40	44	35	
70	54	70	58	66	57	
66	54	66	65	66	57	
107	76	103	85	98	77	
10000	10000	10000	10000	10000	10000	
10000	10000	10000	10000	10000	2278	
1792	410	1792	10000	1780	421	
10000	10000	10000	10000	10000	5147	
4608	966	4608	10000	4580	987	
240	70	240	10000	240	70	
672	170	672	10000	667	175	
1023	31	1023	10000	1023	33	
511	31	511	10000	511	31	
2047	35	2047	10000	2047	309	
184	176	184	199	196	182	
189	182	188	200	195	181	
177	180	177	194	188	183	
192	181	191	199	201	182	
172	179	172	200	192	178	
175	180	175	201	201	185	
179	180	179	202	199	186	
178	176	178	184	193	177	
169	172	169	200	195	180	
185	177	185	197	183	180	
176	177	177	191	183	176	
183	179	183	197	188	180	
176	184	176	205	206	192	
181	177	174	194	198	184	
176	183	176	200	197	185	
178	175	178	196	187	179	
184	182	183	203	197	181	
178	181	178	200	175	178	
183	175	179	189	190	180	
171	172	173	10000	195	181	
182	179	182	10000	194	184	
177	182	177	10000	196	183	
183	175	183	203	194	177	
174	176	174	10000	179	175	
177	176	177	10000	195	178	
176	178	176	194	193	180	
181	174	181	195	197	181	
171	175	171	10000	190	184	
176	185	176	10000	199	181	
173	172	173	10000	177	173	
176	179	181	206	194	187	
168	177	168	10000	178	172	
179	177	179	202	197	181	
169	179	169	10000	191	185	
177	181	175	206	196	182	
173	167	175	10000	193	181	
185	183	185	10000	200	184	
173	180	173	200	193	183	
179	178	177	10000	197	181	
42	44	40	10000	38	10000	
80	88	80	10000	88	10000	
17	17	17	10000	17	10000	
142	160	142	10000	158	10000	
227	245	223	10000	245	10000	
10000	10000	10000	10000	10000	2278	
1792	410	1792	10000	1780	421	
10000	10000	10000	10000	10000	5147	
4608	966	4608	10000	4580	987	
240	70	240	10000	240	70	
672	170	672	10000	667	175	
1023	31	1023	10000	1023	33	
511	31	511	10000	511	31	
2047	35	2047	10000	2047	309	
91	90	93	10000	90	10000	
879	832	874	10000	1824	10000	
30	24	27	10000	25	10000	
420	418	418	10000	10000	10000	
26	26	26	10000	30	10000	
2	2	2	10000	2	10000	
252	192	250	10000	234	10000	
256	239	266	10000	10000	10000	
441	441	441	10000	903	10000	
400	400	400	10000	820	10000	
156	146	158	10000	10000	10000	
288	270	296	10000	10000	10000	
253	242	260	10000	10000	10000	
277	258	277	10000	596	10000	
264	237	264	10000	10000	10000	
280	257	273	10000	594	10000	
249	231	245	10000	10000	10000	
196	176	198	10000	10000	10000	
265	240	263	10000	10000	10000	
83	75	83	10000	10000	10000	
64	63	65	10000	10000	10000	
205	199	199	10000	10000	10000	
874	770	887	10000	10000	10000	
320	302	314	10000	10000	10000	
274	251	274	10000	10000	10000	
329	319	331	10000	10000	10000	
341	323	334	10000	10000	10000	
442	424	447	10000	10000	10000	
286	269	292	10000	10000	10000	
350	321	344	10000	718	10000	
164	148	168	10000	10000	10000	
249	223	256	10000	10000	10000	
199	176	194	10000	10000	10000	
251	215	246	10000	10000	10000	
144	116	119	10000	116	10000	
321	304	326	10000	10000	10000	
224	200	223	10000	498	10000	
4	6	4	10000	4	10000	
243	228	245	10000	10000	10000	
244	218	233	10000	519	10000	
333	316	332	10000	10000	10000	
228	207	233	10000	260	10000	
367	332	359	10000	10000	10000	
158	139	156	10000	10000	10000	
202	200	200	10000	200	10000	
170	156	179	10000	10000	10000	
405	399	399	10000	10000	10000	
258	240	257	10000	10000	10000	
55	54	54	10000	10000	10000	
150	140	160	10000	10000	10000	
161	144	159	10000	10000	10000	
55	50	53	10000	10000	10000	
412	404	409	10000	10000	10000	
302	286	299	10000	10000	10000	
149	143	158	10000	145	10000	
242	209	226	10000	514	10000	
77	77	77	10000	10000	10000	
228	208	225	10000	218	10000	
265	239	264	10000	566	10000	
256	239	265	10000	568	10000	
229	207	234	10000	507	10000	
276	253	283	10000	589	10000	
177	185	176	10000	187	10000	
144	154	142	10000	158	10000	
262	268	262	10000	291	10000	
338	349	338	10000	388	10000	
298	311	298	10000	345	10000	
397	384	396	10000	424	10000	
362	360	361	10000	405	10000	
337	345	335	10000	378	10000	
179	184	179	10000	187	10000	
322	320	320	10000	362	10000	
392	374	396	10000	411	10000	
162	174	161	10000	178	10000	
123	137	122	10000	126	10000	
138	153	138	10000	151	10000	
261	265	261	10000	293	10000	
213	220	214	10000	225	10000	
199	207	198	10000	211	10000	
285	285	286	10000	315	10000	
408	395	408	10000	438	10000	
272	272	274	10000	301	10000	
196	212	192	10000	218	10000	
240	244	240	10000	268	10000	
305	310	305	10000	340	10000	
339	347	339	10000	375	10000	
195	203	197	10000	204	10000	
158	169	158	10000	174	10000	
176	192	175	10000	194	10000	
225	239	226	10000	248	10000	
375	359	376	10000	392	10000	
157	168	157	10000	167	10000	
217	227	217	10000	233	10000	
397	382	398	10000	416	10000	
280	281	279	10000	329	10000	
324	321	321	10000	363	10000	
122	129	120	10000	132	10000	
280	287	281	10000	315	10000	
244	249	242	10000	268	10000	
292	303	302	10000	334	10000	
382	368	382	10000	406	10000	
220	238	219	10000	247	10000	
423	395	422	10000	445	10000	
404	408	404	10000	434	10000	
135	150	135	10000	151	10000	
315	323	315	10000	357	10000	
144	155	144	10000	147	10000	
413	403	408	10000	418	10000	
201	209	201	10000	224	10000	
319	301	312	10000	330	10000	
295	297	296	10000	328	10000	
369	372	368	10000	386	10000	
455	429	437	10000	440	10000	
268	263	266	10000	286	10000	
369	368	372	10000	401	10000	
156	170	158	10000	163	10000	
467	416	455	10000	448	10000	
300	304	300	10000	331	10000	
161	168	162	10000	173	10000	
268	269	268	10000	288	10000	
292	283	292	10000	308	10000	
474	434	444	10000	456	10000	
203	211	203	10000	218	10000	
241	240	241	10000	261	10000	
341	342	341	10000	376	10000	
194	201	194	10000	225	10000	
319	318	323	10000	344	10000	
178	187	178	10000	190	10000	
136	152	135	10000	142	10000	
136	153	136	10000	145	10000	
331	328	334	10000	355	10000	
413	407	414	10000	440	10000	
358	351	357	10000	367	10000	
329	325	327	10000	354	10000	
388	385	388	10000	414	10000	
222	225	222	10000	255	10000	
369	362	360	10000	395	10000	
264	265	264	10000	285	10000	
282	286	284	10000	309	10000	
390	388	383	10000	406	10000	
345	349	346	10000	359	10000	
223	228	223	10000	251	10000	
404	396	414	10000	427	10000	
182	187	182	10000	194	10000	
254	245	254	10000	270	10000	
283	288	282	10000	304	10000	
160	178	160	10000	180	10000	
253	252	253	10000	270	10000	
218	219	218	10000	245	10000	
179	186	179	10000	202	10000	
517	435	513	10000	469	10000	
163	171	162	10000	182	10000	
488	440	501	10000	470	10000	
507	447	508	10000	477	10000	
180	182	180	10000	189	10000	
495	463	509	10000	473	10000	
225	229	226	10000	243	10000	
158	169	158	10000	183	10000	
165	158	165	10000	184	10000	
484	425	499	10000	457	10000	
276	270	272	10000	294	10000	
488	412	478	10000	430	10000	
464	380	457	10000	409	10000	
329	315	328	10000	334	10000	
308	285	306	10000	310	10000	
191	181	191	10000	201	10000	
182	187	182	10000	202	10000	
461	382	471	10000	410	10000	
426	378	446	10000	403	10000	
277	270	273	10000	286	10000	
320	302	313	10000	332	10000	
353	331	355	10000	353	10000	
480	405	484	10000	426	10000	
256	249	256	10000	268	10000	
270	266	270	10000	290	10000	
491	434	490	10000	459	10000	
412	348	426	10000	370	10000	
457	403	467	10000	423	10000	
336	314	337	10000	338	10000	
223	227	223	10000	237	10000	
232	226	228	10000	250	10000	
438	374	439	10000	396	10000	
374	334	369	10000	348	10000	
243	247	243	10000	266	10000	
412	354	402	10000	382	10000	
474	421	498	10000	437	10000	
379	345	395	10000	373	10000	
522	463	505	10000	492	10000	
298	289	298	10000	312	10000	
214	208	212	10000	220	10000	
438	369	431	10000	383	10000	
288	288	286	10000	314	10000	
243	249	243	10000	267	10000	
213	203	213	10000	226	10000	
391	333	368	10000	354	10000	
216	208	219	10000	225	10000	
42	44	40	10000	38	10000	
80	88	80	10000	88	10000	
17	17	17	10000	17	10000	
142	160	142	10000	158	10000	
227	245	223	10000	245	10000	
4	13	2	10000	10000	10000	
24	11	22	10000	10000	10000	
27	10	27	10000	10000	10000	
20	10	16	10000	10000	10000	
25	13	28	10000	10000	10000	
27	12	23	10000	10000	10000	
4	11	4	10000	10000	10000	
6	10	4	10000	10000	10000	
23	11	29	10000	10000	10000	
18	8	17	10000	10000	10000	
28	10	27	10000	10000	10000	
16	9	13	10000	10000	10000	
17	9	17	10000	10000	10000	
10	7	14	10000	10000	10000	
20	8	20	10000	10000	10000	
4	13	3	10000	10000	10000	
11	28	11	10000	10000	10000	
13	27	11	10000	10000	10000	
11	21	11	10000	10000	10000	
13	27	12	10000	10000	10000	
10	22	12	10000	10000	10000	
10	23	11	10000	10000	10000	
9	20	11	10000	10000	10000	
12	32	14	10000	10000	10000	
13	25	11	10000	10000	10000	
13	27	12	10000	10000	10000	
12	23	12	10000	10000	10000	
11	22	11	10000	10000	10000	
14	29	13	10000	10000	10000	
10	25	9	10000	10000	10000	
11	22	12	10000	10000	10000	
10	24	10	10000	10000	10000	
14	27	14	10000	10000	10000	
13	24	10	10000	10000	10000	
11	22	11	10000	10000	10000	
10000	130	10000	10000	10000	10000	
10000	148	10000	10000	10000	10000	
10000	122	10000	10000	10000	10000	
10000	199	10000	10000	10000	10000	
10000	190	10000	10000	10000	10000	
10000	169	10000	10000	10000	10000	
10000	202	10000	10000	10000	10000	
10000	189	10000	10000	10000	10000	
10000	180	10000	10000	10000	10000	
10000	125	10000	10000	10000	10000	
10000	215	10000	10000	10000	10000	
10000	155	10000	10000	10000	10000	
10000	202	10000	10000	10000	10000	
10000	233	10000	10000	10000	10000	
10000	166	10000	10000	10000	10000	
10000	218	10000	10000	10000	10000	
10000	165	10000	10000	10000	10000	
10000	219	10000	10000	10000	10000	
10000	134	10000	10000	10000	10000	
10000	210	10000	10000	10000	10000	
10000	157	10000	10000	10000	10000	
10000	133	10000	10000	10000	10000	
10000	182	10000	10000	10000	10000	
10000	183	10000	10000	10000	10000	
10000	144	10000	10000	10000	10000	
10000	115	10000	10000	10000	10000	
10000	116	10000	10000	10000	10000	
10000	215	10000	10000	10000	10000	
10000	140	10000	10000	10000	10000	
10000	210	10000	10000	10000	10000	
10000	230	10000	10000	10000	10000	
10000	226	10000	10000	10000	10000	
10000	232	10000	10000	10000	10000	
10000	201	10000	10000	10000	10000	
10000	230	10000	10000	10000	10000	
10000	234	10000	10000	10000	10000	
10000	160	10000	10000	10000	10000	
10000	171	10000	10000	10000	10000	
10000	149	10000	10000	10000	10000	
10000	150	10000	10000	10000	10000	
10000	177	10000	10000	10000	10000	
10000	196	10000	10000	10000	10000	
10000	132	10000	10000	10000	10000	
10000	181	10000	10000	10000	10000	
10000	199	10000	10000	10000	10000	
10000	148	10000	10000	10000	10000	
10000	149	10000	10000	10000	10000	
10000	146	10000	10000	10000	10000	
10000	268	10000	10000	10000	10000	
10000	168	10000	10000	10000	10000	
10000	283	10000	10000	10000	10000	
10000	396	10000	10000	10000	10000	
10000	309	10000	10000	10000	10000	
10000	170	10000	10000	10000	10000	
10000	232	10000	10000	10000	10000	
10000	216	10000	10000	10000	10000	
10000	259	10000	10000	10000	10000	
10000	383	10000	10000	10000	10000	
10000	385	10000	10000	10000	10000	
10000	260	10000	10000	10000	10000	
10000	346	10000	10000	10000	10000	
10000	175	10000	10000	10000	10000	
10000	227	10000	10000	10000	10000	
10000	161	10000	10000	10000	10000	
10000	330	10000	10000	10000	10000	
10000	297	10000	10000	10000	10000	
10000	189	10000	10000	10000	10000	
10000	208	10000	10000	10000	10000	
10000	185	10000	10000	10000	10000	
10000	263	10000	10000	10000	10000	
10000	359	10000	10000	10000	10000	
10000	374	10000	10000	10000	10000	
10000	148	10000	10000	10000	10000	
10000	313	10000	10000	10000	10000	
10000	335	10000	10000	10000	10000	
10000	135	10000	10000	10000	10000	
10000	385	10000	10000	10000	10000	
10000	228	10000	10000	10000	10000	
10000	226	10000	10000	10000	10000	
10000	369	10000	10000	10000	10000	
10000	266	10000	10000	10000	10000	
10000	415	10000	10000	10000	10000	
10000	299	10000	10000	10000	10000	
10000	296	10000	10000	10000	10000	
10000	399	10000	10000	10000	10000	
10000	140	10000	10000	10000	10000	
10000	272	10000	10000	10000	10000	
10000	254	10000	10000	10000	10000	
10000	171	10000	10000	10000	10000	
10000	257	10000	10000	10000	10000	
10000	354	10000	10000	10000	10000	
10000	385	10000	10000	10000	10000	
299	281	299	10000	10000	10000	
378	337	378	10000	10000	10000	
219	211	219	10000	10000	10000	
212	200	212	10000	10000	10000	
10000	392	10000	10000	10000	10000	
246	233	247	10000	10000	10000	
355	334	10000	10000	10000	10000	
315	298	315	10000	10000	10000	
280	258	281	10000	10000	10000	
252	241	252	10000	10000	10000	
399	373	10000	10000	10000	10000	
180	160	180	10000	10000	10000	
203	189	203	10000	10000	10000	
375	365	10000	10000	10000	10000	
245	235	245	10000	10000	10000	
392	359	10000	10000	10000	10000	
10000	423	10000	10000	10000	10000	
267	253	268	10000	10000	10000	
391	365	10000	10000	10000	10000	
182	173	182	10000	10000	10000	
409	381	10000	10000	10000	10000	
10000	443	10000	10000	10000	10000	
10000	442	10000	10000	10000	10000	
338	307	338	10000	10000	10000	
352	336	352	10000	10000	10000	
10000	426	10000	10000	10000	10000	
10000	381	10000	10000	10000	10000	
10000	404	10000	10000	10000	10000	
171	162	171	10000	10000	10000	
229	216	229	10000	10000	10000	
350	327	347	10000	10000	10000	
285	266	285	10000	10000	10000	
222	210	222	10000	10000	10000	
322	300	322	10000	10000	10000	
10000	464	10000	10000	10000	10000	
181	175	183	10000	10000	10000	
261	239	261	10000	10000	10000	
10000	445	10000	10000	10000	10000	
318	295	318	10000	10000	10000	
326	307	326	10000	10000	10000	
404	387	10000	10000	10000	10000	
194	180	194	10000	10000	10000	
312	294	312	10000	10000	10000	
202	194	202	10000	10000	10000	
