res_constrained	res_constrained_updatefactor_1	res_unconstrained	res_unconstrained_abs	res_unconstrained_abs_beta_0.5	res_unconstrained_abs_beta_0.5_updatefactor_1	res_unconstrained_beta_0.5	res_unconstrained_beta_0.5_updatefactor_1	res_unconstrained_new	res_unconstrained_new_SLSQP	res_unconstrained_new_updatefactor_1	
s3v110c700-1.cnf	88	88	88	88	88	88	88	88	12	12	99999	
s3v110c1100-9.cnf	130	130	130	130	130	130	130	130	99999	38	99999	
s3v110c900-8.cnf	116	116	116	116	116	116	116	116	27	27	99999	
s3v110c1000-3.cnf	132	132	132	132	132	132	132	132	99999	29	99999	
s3v110c1100-7.cnf	141	141	47	141	141	141	141	141	47	47	99999	
s3v110c1100-1.cnf	122	122	40	122	122	122	122	122	40	40	99999	
s3v110c1000-4.cnf	139	139	139	139	139	139	139	139	33	33	33	
s3v110c800-3.cnf	97	97	97	97	97	97	20	97	99999	17	99999	
s3v110c1100-2.cnf	150	150	55	150	150	150	52	52	55	55	99999	
s3v110c800-8.cnf	118	118	118	118	118	118	118	118	99999	20	99999	
s3v110c700-6.cnf	81	81	81	81	81	81	81	81	12	13	99999	
s3v110c1100-8.cnf	165	165	50	165	165	165	165	165	50	48	99999	
s3v110c900-10.cnf	115	115	115	115	115	115	115	115	24	23	99999	
s3v110c1000-1.cnf	133	133	41	133	133	133	133	133	41	41	41	
s3v110c800-6.cnf	92	92	92	92	92	92	92	92	99999	22	99999	
s3v110c1000-9.cnf	127	127	127	127	127	127	127	127	36	37	99999	
s3v110c800-10.cnf	114	114	114	114	114	114	114	114	99999	17	99999	
s3v110c1000-10.cnf	126	126	36	126	126	126	126	126	36	36	36	
s3v110c700-3.cnf	79	79	79	79	79	79	21	79	11	11	99999	
s3v110c1000-2.cnf	100	100	100	100	100	100	100	100	99999	28	99999	
s3v110c800-2.cnf	96	96	96	96	96	96	96	96	18	20	99999	
s3v110c700-4.cnf	83	83	83	83	83	83	32	32	14	13	99999	
s3v110c700-2.cnf	84	84	84	84	84	84	27	84	99999	13	99999	
s3v110c900-4.cnf	110	110	110	110	110	110	110	110	99999	22	99999	
s3v110c900-9.cnf	103	103	103	103	103	103	103	103	99999	29	99999	
s3v110c800-1.cnf	92	92	92	92	92	92	92	92	99999	23	99999	
s3v110c700-5.cnf	92	92	15	92	92	92	21	21	15	11	99999	
s3v110c700-10.cnf	88	88	88	88	88	88	88	88	11	10	99999	
s3v110c1000-5.cnf	133	133	133	133	133	133	133	133	36	35	99999	
s3v110c1000-6.cnf	114	114	114	114	114	114	114	114	34	34	99999	
s3v110c900-2.cnf	100	100	100	100	100	100	100	100	25	25	99999	
s3v110c1100-6.cnf	139	139	139	139	139	139	139	139	99999	46	99999	
s3v110c900-5.cnf	103	103	103	103	103	103	34	34	99999	24	99999	
s3v110c1000-7.cnf	113	113	113	113	113	113	40	113	36	36	99999	
s3v110c900-7.cnf	125	125	125	125	125	125	125	125	99999	24	99999	
s3v110c1000-8.cnf	113	113	113	113	113	113	113	113	30	29	99999	
s3v110c800-7.cnf	102	102	18	102	102	102	102	102	18	18	99999	
s3v110c900-1.cnf	118	118	118	118	118	118	118	118	99999	26	99999	
s3v110c900-6.cnf	125	125	125	125	125	125	125	125	25	25	99999	
s3v110c900-3.cnf	104	104	104	104	104	104	104	104	99999	18	99999	
s3v110c1100-10.cnf	136	136	41	136	136	136	136	136	41	40	99999	
s3v110c800-5.cnf	93	93	93	93	93	93	93	93	99999	17	99999	
s3v110c700-9.cnf	89	89	89	89	89	89	89	89	99999	12	99999	
s3v110c1100-3.cnf	146	146	146	146	146	146	146	146	45	51	99999	
s3v110c700-7.cnf	82	82	82	82	82	82	82	82	10	10	99999	
s3v110c1100-5.cnf	155	155	47	155	155	155	155	155	47	49	99999	
s3v110c700-8.cnf	98	98	98	98	98	98	98	98	99999	15	99999	
s3v110c1100-4.cnf	153	153	153	153	153	153	153	153	45	46	99999	
s3v110c800-4.cnf	103	103	103	103	103	103	103	103	99999	19	99999	
s3v110c800-9.cnf	103	103	103	103	103	103	103	103	16	17	99999	
s3v90c900-7.cnf	103	103	29	103	103	103	103	103	99999	99999	99999	
s3v90c1100-6.cnf	131	131	69	131	131	131	131	131	99999	99999	99999	
s3v90c900-6.cnf	97	97	34	97	97	97	97	97	99999	99999	99999	
